# CodeVisualization 分析结果导出
# 导出时间: 2025-07-31 15:52:24
# 项目分析结果 - C:/Users/admin/Desktop/code/PHMWidgetManager

# 概览信息
项目,值
项目路径,C:/Users/admin/Desktop/code/PHMWidgetManager
分析时间,2025-07-31 15:52:15
总文件数,224
总行数,73,877
代码行数,60,480
注释行数,5,388
空行数,8,009
总文件大小,2.47 MB
代码行占比,81.87%
注释行占比,7.29%
空行占比,10.84%
编程语言数量,2

# 详细统计表格
语言,文件数,总行数,代码行数,注释行数,空行数,文件大小,平均行数,代码密度
C++,107,60,230,51,272,4,220,4,738,2.11 MB,562.9,85.13%
C/C++ Header,117,13,647,9,208,1,168,3,271,369.81 KB,116.6,67.47%

# 文件列表
文件路径,语言,总行数,代码行数,注释行数,空行数,文件大小,代码密度
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QLogWidget.h,C/C++ Header,32,24,0,8,584.00 B,75.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qluquweight.cpp,C++,119,96,3,20,3.48 KB,80.67%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qluquweight.h,C/C++ Header,36,26,2,8,752.00 B,72.22%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QMaintenanceDataWidget.cpp,C++,652,576,39,37,23.74 KB,88.34%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QMaintenanceDataWidget.h,C/C++ Header,105,75,8,22,3.25 KB,71.43%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QModifyDlg.cpp,C++,40,33,0,7,686.00 B,82.50%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QModifyDlg.h,C/C++ Header,30,21,0,9,453.00 B,70.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qmychart.cpp,C++,525,447,11,67,15.45 KB,85.14%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qmychart.h,C/C++ Header,76,58,1,17,1.74 KB,76.32%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QOrderDataWidget.cpp,C++,765,653,53,59,27.36 KB,85.36%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QOrderDataWidget.h,C/C++ Header,88,66,1,21,2.17 KB,75.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QOrderStatusWidget.cpp,C++,259,213,11,35,9.00 KB,82.24%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QOrderStatusWidget.h,C/C++ Header,51,42,0,9,1.33 KB,82.35%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qphmcustomplot.cpp,C++,178,145,9,24,4.78 KB,81.46%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qphmcustomplot.h,C/C++ Header,58,40,9,9,1.47 KB,68.97%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qphmdockwidget.cpp,C++,90,74,0,16,2.03 KB,82.22%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qphmdockwidget.h,C/C++ Header,30,21,1,8,691.00 B,70.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qpictureviewdlg.cpp,C++,123,102,5,16,3.52 KB,82.93%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qpictureviewdlg.h,C/C++ Header,32,25,0,7,633.00 B,78.13%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qprogressindicator.cpp,C++,117,90,0,27,2.45 KB,76.92%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qprogressindicator.h,C/C++ Header,88,35,39,14,2.95 KB,39.77%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QRepairDataWidget.cpp,C++,831,737,64,30,33.22 KB,88.69%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QRepairDataWidget.h,C/C++ Header,104,82,5,17,3.56 KB,78.85%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QRepairDetailWidget.cpp,C++,105,100,0,5,3.78 KB,95.24%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QRepairDetailWidget.h,C/C++ Header,33,23,0,10,552.00 B,69.70%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qreportdatawidget.cpp,C++,571,461,37,73,20.78 KB,80.74%
